tripduration,starttime
3.233333333,345.9
12.76666667,346.3166667
20.65,346.4666667
4.7,347.0166667
5.1,347.4166667
2.65,347.7
13.96666667,347.7166667
11.4,347.7166667
12.51666667,348.5
14.43333333,348.95
5.566666667,349
47.7,349.35
18.51666667,349.4333333
12.58333333,349.6666667
2.7,352.3166667
5.083333333,352.3333333
3.05,352.5833333
15.75,352.7166667
8.916666667,353.4
22.43333333,354.0333333
3.383333333,354.1166667
28.55,354.6
1.483333333,355.7666667
6.033333333,356.25
4.1,356.3
10.7,357.9
8.25,358
3.183333333,358.1833333
14.98333333,360.2
26.41666667,360.7
6.75,360.9166667
11.28333333,361.1166667
5.383333333,361.2666667
9.716666667,362.3666667
11.38333333,362.6333333
9.066666667,362.7666667
13.85,362.8
17.2,362.8
10.26666667,362.85
38.2,363.0166667
22.13333333,363.6333333
18.25,364.45
16.15,364.7333333
9.466666667,364.7833333
10.96666667,365.9
28.98333333,366.4166667
15.16666667,366.7666667
7.866666667,366.85
5.35,367.1833333
11.81666667,367.4
17.26666667,367.5666667
20.56666667,368.0666667
52.96666667,369.4666667
7.333333333,369.6
13.05,369.6
10.93333333,369.9166667
12.25,370.0166667
25.41666667,370.3833333
14.98333333,370.5333333
12.95,370.6666667
6.566666667,371.5
6.016666667,371.8333333
11.73333333,371.8333333
8.716666667,371.9
11.88333333,372
17.81666667,372.1166667
22.53333333,372.35
23.81666667,372.5666667
7.016666667,373.3166667
24.05,373.6166667
11.31666667,374.4
14.05,374.6833333
27.46666667,374.9666667
8.5,375.1
11.36666667,375.5333333
15.71666667,375.6
12.71666667,375.6666667
16.3,375.7666667
3.783333333,376.75
18.03333333,376.9333333
6.033333333,377.1333333
6.233333333,377.3166667
25.53333333,377.7833333
15.33333333,378.0666667
18.21666667,379.05
6.716666667,379.1333333
6.15,379.35
5.2,379.9166667
6.05,379.9166667
13.56666667,380.4166667
9.15,381.0333333
20.63333333,381.1333333
21.86666667,381.3333333
17.98333333,381.4
15.63333333,381.6
7.366666667,381.7166667
6.266666667,382.0333333
7.266666667,382.15
10.06666667,382.3833333
18.36666667,382.6333333
10.35,383.0666667
16.81666667,383.2833333
38,383.45
8.616666667,383.7
16.58333333,383.9
18.41666667,384.55
9.466666667,385.05
5.833333333,385.45
5.883333333,385.6666667
28,385.6666667
