tripStartTime,tripDuration
2020-09-01 16:35:27,930
2020-09-01 16:35:30,980
2020-09-01 16:35:33,406
2020-09-01 16:35:33,359
2020-09-01 16:35:38,1854
2020-09-01 16:35:46,867
2020-09-01 16:35:51,4473
2020-09-01 16:36:03,1745
2020-09-01 16:36:06,3660
2020-09-01 16:36:07,2705
2020-09-01 16:36:09,298
2020-09-01 16:36:14,228
2020-09-01 16:36:16,544
2020-09-01 16:36:17,1016
2020-09-01 16:36:21,913
2020-09-01 16:36:28,1429
2020-09-01 16:36:29,474
2020-09-01 16:36:37,959
2020-09-01 16:36:37,1101
2020-09-01 16:36:39,3224
2020-09-01 16:36:40,292
2020-09-01 16:36:41,1156
2020-09-01 16:36:42,2079
2020-09-01 16:36:44,323
2020-09-01 16:36:51,796
2020-09-01 16:36:55,839
2020-09-01 16:37:00,748
2020-09-01 16:37:00,733
2020-09-01 16:37:01,2056
2020-09-01 16:37:01,2078
2020-09-01 16:37:07,1070
2020-09-01 16:37:20,1205
2020-09-01 16:37:20,852
2020-09-01 16:37:24,189
2020-09-01 16:37:33,1101
2020-09-01 16:37:39,319
2020-09-01 16:37:45,1304
2020-09-01 16:37:48,834
2020-09-01 16:38:01,1014
2020-09-01 16:38:02,3152
2020-09-01 16:38:10,581
2020-09-01 16:38:24,687
2020-09-01 16:38:27,1673
2020-09-01 16:38:31,910
2020-09-01 16:38:54,716
2020-09-01 16:38:57,530
2020-09-01 16:39:06,424
2020-09-01 16:39:07,1602
2020-09-01 16:39:16,1224
2020-09-01 16:39:16,239
2020-09-01 16:39:17,1287
2020-09-01 16:39:28,2188
2020-09-01 16:39:28,1093
2020-09-01 16:39:30,3044
2020-09-01 16:39:31,3035
2020-09-01 16:39:31,2189
2020-09-01 16:39:35,1084
2020-09-01 16:39:50,1446
2020-09-01 16:39:52,776
2020-09-01 16:39:56,328
2020-09-01 16:39:58,451
2020-09-01 16:39:58,1977
2020-09-01 16:40:00,4377
2020-09-01 16:40:05,1084
2020-09-01 16:40:15,1281
2020-09-01 16:40:19,807
2020-09-01 16:40:24,1370
2020-09-01 16:40:27,421
2020-09-01 16:40:30,1750
2020-09-01 16:40:30,1371
2020-09-01 16:40:32,10088
2020-09-01 16:40:40,1102
2020-09-01 16:40:44,493
2020-09-01 16:40:45,1151
2020-09-01 16:40:46,263
2020-09-01 16:40:47,1842
2020-09-01 16:40:47,1355
2020-09-01 16:40:52,865
2020-09-01 16:40:53,2583
2020-09-01 16:40:57,1508
2020-09-01 16:40:57,734
2020-09-01 16:41:04,1369
2020-09-01 16:41:12,2944
2020-09-01 16:41:20,452
2020-09-01 16:41:30,689
2020-09-01 16:41:39,1301
2020-09-01 16:41:40,709
2020-09-01 16:41:41,1378
2020-09-01 16:41:50,509
2020-09-01 16:41:52,938
2020-09-01 16:41:59,1357
2020-09-01 16:42:04,346
2020-09-01 16:42:11,1658
2020-09-01 16:42:13,721
2020-09-01 16:42:18,897
2020-09-01 16:42:18,1724
2020-09-01 16:42:18,897
2020-09-01 16:42:29,168
2020-09-01 16:42:33,2078
2020-09-01 16:42:36,911
2020-09-01 16:42:39,594
2020-09-01 16:42:47,949
2020-09-01 16:42:49,1666
2020-09-01 16:42:52,1021
2020-09-01 16:43:05,345
2020-09-01 16:43:05,1980
2020-09-01 16:43:21,637
2020-09-01 16:43:22,1240
2020-09-01 16:43:23,291
2020-09-01 16:43:30,1754
2020-09-01 16:43:30,966
2020-09-01 16:43:38,686
2020-09-01 16:43:38,1028
2020-09-01 16:43:45,509
2020-09-01 16:43:47,3464
2020-09-01 16:43:47,3461
2020-09-01 16:43:49,969
2020-09-01 16:43:51,805
2020-09-01 16:43:51,1206
2020-09-01 16:43:57,734
2020-09-01 16:44:05,565
2020-09-01 16:44:09,769
2020-09-01 16:44:14,482
2020-09-01 16:44:16,259
2020-09-01 16:44:16,770
2020-09-01 16:44:21,267
2020-09-01 16:44:25,206
2020-09-01 16:44:27,62
2020-09-01 16:44:31,525
2020-09-01 16:44:32,305
2020-09-01 16:44:32,835
2020-09-01 16:44:43,2257
2020-09-01 16:44:46,408
2020-09-01 16:45:03,972
2020-09-01 16:45:08,599
2020-09-01 16:45:11,809
2020-09-01 16:45:15,736
2020-09-01 16:45:19,893
2020-09-01 16:45:21,789
2020-09-01 16:45:32,2222
2020-09-01 16:45:33,1315
2020-09-01 16:45:42,2928
2020-09-01 16:45:53,233
2020-09-01 16:45:57,1218
2020-09-01 16:45:57,1372
2020-09-01 16:46:00,569
2020-09-01 16:46:00,1423
2020-09-01 16:46:02,507
2020-09-01 16:46:03,683
2020-09-01 16:46:04,789
2020-09-01 16:46:12,2111
2020-09-01 16:46:13,910
2020-09-01 16:46:13,2257
2020-09-01 16:46:14,458
2020-09-01 16:46:25,482
2020-09-01 16:46:29,1830
2020-09-01 16:46:35,872
2020-09-01 16:46:43,475
2020-09-01 16:46:53,1575
2020-09-01 16:46:53,876
2020-09-01 16:46:56,1015
2020-09-01 16:47:04,1080
2020-09-01 16:47:21,878
2020-09-01 16:47:26,306
2020-09-01 16:47:32,1229
2020-09-01 16:47:35,927
2020-09-01 16:47:36,603
2020-09-01 16:47:42,464
2020-09-01 16:47:50,1126
2020-09-01 16:47:57,440
2020-09-01 16:48:09,942
2020-09-01 16:48:13,459
2020-09-01 16:48:14,588
2020-09-01 16:48:20,4420
2020-09-01 16:48:29,1740
2020-09-01 16:48:38,1021
2020-09-01 16:48:39,857
2020-09-01 16:48:57,1111
2020-09-01 16:49:00,1299
2020-09-01 16:49:01,1630
2020-09-01 16:49:05,274
2020-09-01 16:49:07,1586
2020-09-01 16:49:10,715
2020-09-01 16:49:11,1120
2020-09-01 16:49:13,1258
2020-09-01 16:49:16,2249
2020-09-01 16:49:18,662
2020-09-01 16:49:18,667
2020-09-01 16:49:18,205
2020-09-01 16:49:26,1571
2020-09-01 16:49:29,689
2020-09-01 16:49:35,342
2020-09-01 16:49:46,360
2020-09-01 16:49:47,1226
2020-09-01 16:49:48,1469
2020-09-01 16:49:48,1169
2020-09-01 16:49:52,993
